<setting>
1920,1080,500,400,0,225,-275,-225,275,-225
</setting>
<timedatas>
0,01_1_sad,01_2_happy,01_3_neutral,2-1,2020-02-17 15:19:33,254,1385,1752,6761,9778
0,3,-151,-39.3,2020-02-17 15:19:39,407
0,3,-150.6,-40.2,2020-02-17 15:19:39,439
0,3,-150.4,-41.8,2020-02-17 15:19:39,472
0,3,-150.6,-41.5,2020-02-17 15:19:39,505
0,3,-150.4,-41.3,2020-02-17 15:19:39,537
0,3,-112.8,-41,2020-02-17 15:19:39,570
0,3,-113,-40.9,2020-02-17 15:19:39,602
0,3,-113.8,-41.1,2020-02-17 15:19:39,635
0,3,-114.3,-40.9,2020-02-17 15:19:39,667
0,3,-114.8,-40.4,2020-02-17 15:19:39,716
0,3,-115,-40,2020-02-17 15:19:39,733
0,3,186.2,-61.5,2020-02-17 15:19:39,765
0,3,187.5,-62.1,2020-02-17 15:19:39,798
0,3,189.3,-57.6,2020-02-17 15:19:39,831
0,3,189.4,-57.9,2020-02-17 15:19:39,879
0,3,188.6,-57.6,2020-02-17 15:19:39,912
0,3,188.8,-60.3,2020-02-17 15:19:39,945
0,3,193.8,-53.1,2020-02-17 15:19:39,977
0,3,199.9,-44.9,2020-02-17 15:19:40,10
0,4,200.2,-44.5,2020-02-17 15:19:40,42
0,4,200.4,-44.3,2020-02-17 15:19:40,75
0,4,278,56,2020-02-17 15:19:40,107
0,4,278.2,55.8,2020-02-17 15:19:40,140
0,4,231.8,-90.9,2020-02-17 15:19:40,173
0,4,231.4,-89.8,2020-02-17 15:19:40,205
0,4,231.3,-90.1,2020-02-17 15:19:40,238
0,4,231.1,-90.2,2020-02-17 15:19:40,271
0,4,-66.4,-2,2020-02-17 15:19:40,303
0,4,-65.8,-5.1,2020-02-17 15:19:40,336
0,4,-63.3,-3.7,2020-02-17 15:19:40,368
0,4,-63.1,-9.3,2020-02-17 15:19:40,417
0,4,-63.6,-11.3,2020-02-17 15:19:40,433
0,4,-64.1,-13,2020-02-17 15:19:40,466
0,4,-65,-14.2,2020-02-17 15:19:40,499
0,4,-67.4,-15.6,2020-02-17 15:19:40,531
0,4,-67,-16.5,2020-02-17 15:19:40,580
0,4,-143.2,-153.5,2020-02-17 15:19:40,612
0,4,-136.4,-151.8,2020-02-17 15:19:40,629
0,4,-140.8,-163.4,2020-02-17 15:19:40,661
0,4,-139.5,-159.7,2020-02-17 15:19:40,710
0,4,-137.6,-157.2,2020-02-17 15:19:40,743
0,4,-139.1,-154.4,2020-02-17 15:19:40,775
0,4,-139.5,-154.6,2020-02-17 15:19:40,808
0,4,-140.5,-153.8,2020-02-17 15:19:40,841
0,4,-142,-153.2,2020-02-17 15:19:40,873
0,4,-141.1,-154.2,2020-02-17 15:19:40,906
0,4,-140.2,-153.2,2020-02-17 15:19:40,939
0,4,-139.8,-152.6,2020-02-17 15:19:40,971
0,4,-139.2,-151.9,2020-02-17 15:19:41,3
0,4,-138.7,-151.5,2020-02-17 15:19:41,36
0,4,-138.2,-150.6,2020-02-17 15:19:41,69
0,4,-137.8,-149.2,2020-02-17 15:19:41,101
0,4,-137.5,-148.8,2020-02-17 15:19:41,134
0,4,-137.1,-149.2,2020-02-17 15:19:41,166
0,4,-136.5,-149.2,2020-02-17 15:19:41,199
0,4,-136.7,-151,2020-02-17 15:19:41,232
0,4,-135.9,-150.9,2020-02-17 15:19:41,264
0,4,-136.4,-150.5,2020-02-17 15:19:41,313
0,4,-136.9,-149.7,2020-02-17 15:19:41,346
0,4,-136.8,-149.9,2020-02-17 15:19:41,362
0,4,-135.7,-150.9,2020-02-17 15:19:41,411
0,4,-191.4,8.3,2020-02-17 15:19:41,443
0,4,-192.3,7.7,2020-02-17 15:19:41,476
0,4,-192.5,8.2,2020-02-17 15:19:41,509
0,4,-159.7,-117.7,2020-02-17 15:19:41,541
0,4,-159.6,-117.1,2020-02-17 15:19:41,574
0,4,-190.7,-0.6,2020-02-17 15:19:41,606
0,4,-190.5,-0.6,2020-02-17 15:19:41,639
0,4,-152.9,-116.1,2020-02-17 15:19:41,672
0,4,-152.8,-117.2,2020-02-17 15:19:41,704
0,4,-153.4,-116.2,2020-02-17 15:19:41,737
0,4,-151,-111.9,2020-02-17 15:19:41,769
0,4,-151.5,-116.9,2020-02-17 15:19:41,802
0,4,-153.7,-123.1,2020-02-17 15:19:41,834
0,4,-152.7,-119.8,2020-02-17 15:19:41,867
0,4,-153.3,-122.5,2020-02-17 15:19:41,900
0,4,-153.2,-122.1,2020-02-17 15:19:41,932
0,4,-155.3,-121.6,2020-02-17 15:19:41,965
0,4,-158.6,-120.3,2020-02-17 15:19:42,14
0,4,-159.1,-120.2,2020-02-17 15:19:42,30
0,4,-161.8,-119.6,2020-02-17 15:19:42,63
0,4,-161.1,-118,2020-02-17 15:19:42,111
0,4,-164,-113.9,2020-02-17 15:19:42,144
0,4,-164.3,-115.1,2020-02-17 15:19:42,177
0,4,-166.3,-113.1,2020-02-17 15:19:42,209
0,4,-167.7,-113.3,2020-02-17 15:19:42,242
0,4,-167.6,-113.4,2020-02-17 15:19:42,274
0,4,-227.5,-142.6,2020-02-17 15:19:42,307
0,4,-226.8,-140.2,2020-02-17 15:19:42,340
0,4,-225.6,-143.1,2020-02-17 15:19:42,372
0,4,-224.8,-143.1,2020-02-17 15:19:42,405
0,4,-225.7,-138.2,2020-02-17 15:19:42,437
0,4,-225.7,-137.8,2020-02-17 15:19:42,470
0,4,-225.7,-137.8,2020-02-17 15:19:42,503
0,4,19.2,-205.5,2020-02-17 15:19:42,535
0,4,18.2,-208.8,2020-02-17 15:19:42,568
0,4,16.6,-209.6,2020-02-17 15:19:42,600
0,4,15.5,-212.7,2020-02-17 15:19:42,633
0,4,15.2,-211.9,2020-02-17 15:19:42,666
0,4,16.2,-213.2,2020-02-17 15:19:42,698
0,4,16.2,-213,2020-02-17 15:19:42,731
0,4,-20.3,-104,2020-02-17 15:19:42,763
0,4,-22.4,-104.7,2020-02-17 15:19:42,812
0,4,-25.1,-104.4,2020-02-17 15:19:42,829
0,4,-26.1,-98.3,2020-02-17 15:19:42,861
0,4,-29.3,-101.8,2020-02-17 15:19:42,894
0,4,-30.9,-103.5,2020-02-17 15:19:42,943
0,4,-31.1,-104.1,2020-02-17 15:19:42,975
0,4,-30.8,-104.9,2020-02-17 15:19:43,8
0,5,-126.7,-96.2,2020-02-17 15:19:43,40
0,5,-126.2,-93.9,2020-02-17 15:19:43,73
0,5,-127.7,-93.5,2020-02-17 15:19:43,268
0,5,-127.7,-94,2020-02-17 15:19:43,301
0,5,-129.8,-91.4,2020-02-17 15:19:43,333
0,5,-132.2,-92,2020-02-17 15:19:43,366
0,5,-132.6,-90.2,2020-02-17 15:19:43,399
0,5,-133,-90,2020-02-17 15:19:43,431
0,5,-132.9,-89.2,2020-02-17 15:19:43,464
0,5,-132.7,-89.1,2020-02-17 15:19:43,496
0,5,-23.2,28.1,2020-02-17 15:19:43,529
0,5,-20.3,43.8,2020-02-17 15:19:43,562
0,5,-22.1,41.7,2020-02-17 15:19:43,594
0,5,-23.6,30.5,2020-02-17 15:19:43,643
0,5,-23.3,30.7,2020-02-17 15:19:43,676
0,5,-23.4,31.7,2020-02-17 15:19:43,708
0,5,67.7,275.1,2020-02-17 15:19:43,741
0,5,72.4,278.2,2020-02-17 15:19:43,773
0,5,73.6,282.7,2020-02-17 15:19:43,806
0,5,75.1,285.8,2020-02-17 15:19:43,839
0,5,75.6,288.5,2020-02-17 15:19:43,871
0,5,75.1,290.5,2020-02-17 15:19:43,904
0,5,74.4,291.2,2020-02-17 15:19:43,936
0,5,98.9,339.2,2020-02-17 15:19:43,969
0,5,99.6,349.3,2020-02-17 15:19:44,2
0,5,100.6,353.5,2020-02-17 15:19:44,34
0,5,101.8,355.6,2020-02-17 15:19:44,67
0,5,102.5,353.9,2020-02-17 15:19:44,99
0,5,103.1,354.2,2020-02-17 15:19:44,132
0,5,103.4,353.1,2020-02-17 15:19:44,181
0,5,103.4,354.6,2020-02-17 15:19:44,197
0,5,103.6,355.1,2020-02-17 15:19:44,230
0,5,103.5,354.6,2020-02-17 15:19:44,262
1,1,104,355,2020-02-17 15:19:44,305
1,1,94,355.9,2020-02-17 15:19:44,338
1,1,94.2,356.2,2020-02-17 15:19:44,371
1,1,94.5,356.4,2020-02-17 15:19:44,403
1,1,94.9,355.6,2020-02-17 15:19:44,436
1,1,95.1,355.1,2020-02-17 15:19:44,468
1,1,95.2,356.3,2020-02-17 15:19:44,501
1,1,95.5,357,2020-02-17 15:19:44,534
1,1,96,356.6,2020-02-17 15:19:44,566
1,1,96.9,354.9,2020-02-17 15:19:44,615
1,1,97.1,354.7,2020-02-17 15:19:44,631
1,1,96.8,355,2020-02-17 15:19:44,680
1,1,96.3,355.5,2020-02-17 15:19:44,713
1,1,96.8,356.9,2020-02-17 15:19:44,875
1,1,-26.5,201.6,2020-02-17 15:19:44,908
1,1,-45.4,98.8,2020-02-17 15:19:44,941
1,1,-31.9,105.7,2020-02-17 15:19:44,973
1,1,-25.3,84,2020-02-17 15:19:45,6
1,1,-23.1,84.4,2020-02-17 15:19:45,169
1,1,-22.3,84.3,2020-02-17 15:19:45,201
1,1,-4.4,-44.2,2020-02-17 15:19:45,234
1,1,0.8,-44.9,2020-02-17 15:19:45,283
1,1,-5.4,-22.8,2020-02-17 15:19:45,299
1,1,-7.3,-10.6,2020-02-17 15:19:45,332
1,1,-7.8,0.1,2020-02-17 15:19:45,364
1,1,-8.1,7.2,2020-02-17 15:19:45,397
1,1,-14.3,20.7,2020-02-17 15:19:45,429
1,1,-19.8,30.7,2020-02-17 15:19:45,462
1,1,26.8,80.3,2020-02-17 15:19:45,495
1,1,26.7,80.4,2020-02-17 15:19:45,527
1,1,26.4,80.3,2020-02-17 15:19:45,576
1,1,26.3,81.2,2020-02-17 15:19:45,609
1,2,26.3,82,2020-02-17 15:19:45,641
1,2,26.6,81.8,2020-02-17 15:19:45,674
1,2,26.5,81.1,2020-02-17 15:19:45,707
1,2,25.9,79.2,2020-02-17 15:19:45,739
1,2,25.2,77.8,2020-02-17 15:19:45,772
1,2,25.2,76.9,2020-02-17 15:19:45,804
1,2,24.9,76.5,2020-02-17 15:19:45,837
1,2,24.5,74.8,2020-02-17 15:19:45,869
1,2,24.1,74.5,2020-02-17 15:19:45,902
1,2,24.9,73.4,2020-02-17 15:19:45,935
1,2,25.2,73.2,2020-02-17 15:19:45,967
1,2,23.8,8.7,2020-02-17 15:19:46,0
1,2,23.7,7.3,2020-02-17 15:19:46,32
1,2,25.1,8,2020-02-17 15:19:46,81
1,2,25.2,7.8,2020-02-17 15:19:46,114
1,2,26,6.2,2020-02-17 15:19:46,147
1,2,26,6.3,2020-02-17 15:19:46,179
1,3,26.5,5.7,2020-02-17 15:19:46,211
1,3,26.8,6.1,2020-02-17 15:19:46,244
1,3,26.4,5.2,2020-02-17 15:19:46,277
1,3,26.1,4.3,2020-02-17 15:19:46,309
1,3,25.8,4.1,2020-02-17 15:19:46,342
1,3,25.9,3.5,2020-02-17 15:19:46,374
1,3,26.8,5,2020-02-17 15:19:46,407
1,3,28.3,7,2020-02-17 15:19:46,440
1,3,29.3,7.5,2020-02-17 15:19:46,472
1,3,30.3,6.6,2020-02-17 15:19:46,505
1,3,30.7,5.4,2020-02-17 15:19:46,537
1,3,31.9,3.6,2020-02-17 15:19:46,700
1,3,30.5,4.2,2020-02-17 15:19:46,749
1,3,29,4.1,2020-02-17 15:19:46,765
1,3,-28.4,57.2,2020-02-17 15:19:46,798
1,3,-34.7,53,2020-02-17 15:19:46,830
1,3,-38.3,52.6,2020-02-17 15:19:46,879
1,3,-40.9,52.2,2020-02-17 15:19:46,912
1,3,-41.9,50.4,2020-02-17 15:19:46,945
1,3,-40.6,49.1,2020-02-17 15:19:46,961
1,3,26.8,3.9,2020-02-17 15:19:47,10
1,3,27.3,-5.7,2020-02-17 15:19:47,42
1,3,31.8,-3.5,2020-02-17 15:19:47,75
1,3,37.5,-2.2,2020-02-17 15:19:47,107
1,3,40,-6.1,2020-02-17 15:19:47,140
1,3,37.6,-10.6,2020-02-17 15:19:47,173
1,3,31.4,-14.7,2020-02-17 15:19:47,205
1,3,27.4,-15.4,2020-02-17 15:19:47,238
1,3,-26.6,42.9,2020-02-17 15:19:47,270
1,3,-15.1,51.9,2020-02-17 15:19:47,303
1,3,-6.9,55.5,2020-02-17 15:19:47,336
1,3,3.9,57.3,2020-02-17 15:19:47,368
1,3,6.7,54.9,2020-02-17 15:19:47,401
1,3,4.3,49.1,2020-02-17 15:19:47,433
1,3,0.8,41.2,2020-02-17 15:19:47,466
1,3,-9.2,30.8,2020-02-17 15:19:47,499
1,3,-16.9,26.5,2020-02-17 15:19:47,531
1,3,-20.2,26.8,2020-02-17 15:19:47,564
1,3,-21.8,26.5,2020-02-17 15:19:47,613
1,3,-21.8,25.6,2020-02-17 15:19:47,629
1,3,-17.8,28.8,2020-02-17 15:19:47,662
1,3,-14.7,31.6,2020-02-17 15:19:47,710
1,3,-13.1,33,2020-02-17 15:19:47,743
1,3,-12.7,33.1,2020-02-17 15:19:47,776
1,3,-31.2,-42.8,2020-02-17 15:19:47,808
